대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
경상국립대학교,경남,수시,㉰군 수능(일반전형) 185 183,의과대학,452,확인필요,,,
경상국립대학교,경남,수시,㉰군 수능(일반전형) 185 183,의과대학 교육부,356,확인필요,,,
경상국립대학교,경남,수시,㉰군 수능(일반전형) 185 183,의과대학은 정부,290,확인필요,,,
경상국립대학교,경남,수시,"3) 수능최저학력기준: 학생부교과 일반전형과 지역인재전형에 적용됨, 그 외 미적용",스포츠헬스케어학과,4,교과 100%,,,
경상국립대학교,경남,수시,"3) 수능최저학력기준: 학생부교과 일반전형과 지역인재전형에 적용됨, 그 외 미적용",학생부 실적 실기 학생부,2,교과 100%,,,
경상국립대학교,경남,수시,"3) 수능최저학력기준: 학생부교과 일반전형과 지역인재전형에 적용됨, 그 외 미적용",음악교육과,4,교과 100%,,,
경상국립대학교,경남,수시,"3) 수능최저학력기준: 학생부교과 일반전형과 지역인재전형에 적용됨, 그 외 미적용",헬스케어학과,2,교과 100%,,,
경상국립대학교,경남,수시,"3) 수능최저학력기준: 학생부교과 일반전형과 지역인재전형에 적용됨, 그 외 미적용",학생부,2,교과 100%,,,
