대학명,지역,전형구분,전형명,학과명,모집인원,전형요소_반영비율,수능최저,원서접수,비고
한국항공대학교,경기,수시,학교장추천 전형,논리력과 통합력을 측정하는 제시문과,198,학생부교과 100%,,,
한국항공대학교,경기,수시,▣ 전형방법 : 학생부 교과 100%,학교생활기록부,142,학생부 교과 100%,,,
한국항공대학교,경기,수시,▣ 학교장추천서 제출방법 : 소속 고등학교의 학교장추천서를 대학이 지정하는 방법으로 기한 내,학교생활기록부,75,학생부 교과 100%,,,
한국항공대학교,경기,수시,▣ 학교장추천서 제출방법 : 소속 고등학교의 학교장추천서를 대학이 지정하는 방법으로 기한 내,않는 자는 학생생활기록부,142,학생부 교과 100%,,,
한국항공대학교,경기,수시,▣ 학교장추천서 제출방법 : 소속 고등학교의 학교장추천서를 대학이 지정하는 방법으로 기한 내,않는 자는 학생생활기록부,44,학생부 교과 100%,,,
한국항공대학교,경기,수시,▣ 학교장추천서 제출방법 : 소속 고등학교의 학교장추천서를 대학이 지정하는 방법으로 기한 내,경영대학,16,학생부 교과 100%,,,
